step,stream,T2V_R1,T2V_R5,T2V_R10,V2T_R1,V2T_R5,V2T_R10,mean_R1
0,fusion,76.49325626204238,92.8709055876686,96.14643545279384,78.61271676300578,93.0635838150289,95.37572254335261,77.55298651252409
0,pose,61.078998073217726,86.51252408477842,91.71483622350675,59.92292870905588,84.77842003853564,90.5587668593449,60.50096339113681
0,rgb,73.60308285163777,93.0635838150289,96.14643545279384,73.98843930635837,93.0635838150289,95.76107899807322,73.79576107899807
111,fusion,76.878612716763,92.48554913294798,96.14643545279384,77.64932562620423,93.44894026974951,95.56840077071291,77.26396917148361
111,pose,59.34489402697495,83.42967244701349,90.5587668593449,57.80346820809249,83.8150289017341,89.78805394990366,58.57418111753372
111,rgb,73.02504816955684,92.10019267822736,95.76107899807322,73.98843930635837,92.8709055876686,95.76107899807322,73.5067437379576
222,fusion,77.26396917148362,92.48554913294798,96.53179190751445,77.84200385356455,93.44894026974951,95.95375722543352,77.55298651252409
222,pose,61.849710982658955,85.35645472061657,91.13680154142581,58.95953757225434,85.9344894026975,91.52215799614643,60.40462427745665
222,rgb,73.41040462427746,92.29287090558766,95.76107899807322,73.98843930635837,92.67822736030828,95.76107899807322,73.69942196531792
